Top_RGB_Cluster,Representative_Color,Bottom_RGB_List
103,"(42, 46, 44)","[(95, 107, 107), (31, 37, 37), (25, 29, 33), (184, 175, 182), (72, 71, 62), (63, 63, 63), (31, 32, 37), (13, 20, 18), (31, 36, 34), (91, 70, 58), (23, 28, 28), (48, 55, 59), (56, 60, 64), (48, 54, 54), (74, 77, 72), (136, 144, 138), (37, 39, 31), (193, 188, 172), (201, 206, 198), (11, 19, 33), (37, 42, 42)]"
104,"(157, 156, 146)","[(205, 202, 190), (151, 130, 119), (103, 79, 54), (55, 60, 60), (34, 36, 27)]"
105,"(86, 108, 70)","[(189, 197, 204)]"
106,"(102, 25, 22)","[(91, 93, 93)]"
107,"(74, 115, 144)","[(32, 35, 34)]"
108,"(121, 100, 71)","[(76, 72, 56)]"
109,"(31, 22, 14)","[(86, 72, 54), (22, 22, 12)]"
110,"(195, 195, 185)","[(128, 122, 109), (75, 103, 130), (197, 198, 204), (66, 69, 74), (18, 26, 38)]"
111,"(80, 85, 84)","[(97, 101, 99), (152, 151, 150), (90, 86, 73), (48, 54, 60), (29, 34, 36), (31, 32, 33), (101, 101, 102), (38, 43, 45), (15, 31, 32)]"
112,"(77, 78, 63)","[(91, 94, 91), (21, 24, 21), (60, 63, 63), (88, 90, 66), (87, 94, 91), (81, 79, 64), (199, 207, 204)]"
113,"(102, 38, 41)","[(161, 154, 139)]"
114,"(185, 176, 154)","[(42, 43, 40), (40, 41, 34), (22, 26, 22), (28, 30, 29)]"
115,"(15, 38, 29)","[(165, 154, 144), (54, 55, 56)]"
116,"(57, 62, 61)","[(21, 24, 26), (154, 168, 175), (89, 88, 81), (210, 213, 207), (185, 191, 208), (17, 46, 120), (52, 76, 134), (78, 81, 77), (40, 44, 41), (165, 169, 163)]"
117,"(174, 172, 161)","[(22, 59, 111), (36, 38, 37)]"
118,"(98, 127, 153)","[(155, 167, 176)]"
119,"(24, 30, 32)","[(134, 137, 132), (155, 163, 174), (62, 77, 90), (87, 94, 104), (170, 162, 141), (148, 151, 143), (77, 92, 87), (157, 155, 147), (131, 138, 134), (43, 24, 32), (65, 71, 72), (139, 131, 121)]"
120,"(137, 147, 149)","[(98, 66, 46), (20, 23, 17)]"
121,"(127, 140, 161)","[(190, 198, 204), (51, 58, 60), (41, 49, 51)]"
122,"(47, 41, 36)","[(33, 57, 68), (202, 204, 191), (120, 30, 33), (14, 17, 19)]"
123,"(110, 143, 169)","[(72, 115, 144)]"
124,"(17, 40, 77)","[(18, 36, 36)]"
125,"(124, 159, 180)","[(83, 86, 85)]"
126,"(204, 211, 208)","[(112, 131, 140), (145, 147, 143), (106, 15, 19), (31, 41, 32), (92, 100, 105), (165, 165, 169), (76, 85, 95)]"
127,"(181, 181, 180)","[(147, 161, 167), (159, 172, 176), (109, 107, 98)]"
128,"(51, 55, 57)","[(137, 131, 118), (75, 94, 101), (161, 161, 153), (126, 112, 103), (89, 100, 107), (107, 109, 111), (64, 70, 72), (126, 116, 98), (162, 172, 169), (56, 57, 42), (103, 125, 143), (8, 14, 14), (64, 68, 65), (146, 151, 145), (48, 52, 51), (75, 79, 79), (162, 149, 133), (82, 84, 80)]"
129,"(114, 118, 117)","[(57, 59, 57), (13, 20, 27), (77, 78, 78), (47, 55, 57), (15, 20, 19)]"
130,"(130, 134, 130)","[(29, 31, 30), (24, 33, 26), (28, 32, 29), (69, 73, 82), (62, 65, 64), (170, 162, 149)]"
131,"(185, 188, 201)","[(52, 81, 125), (7, 14, 22)]"
132,"(93, 76, 66)","[(25, 27, 25), (19, 26, 33)]"
133,"(25, 35, 52)","[(171, 156, 127), (168, 164, 156), (131, 147, 156)]"
134,"(68, 77, 86)","[(32, 49, 70), (189, 185, 175), (60, 63, 54), (34, 34, 33), (73, 84, 89)]"
135,"(201, 195, 171)","[(128, 153, 155)]"
136,"(174, 176, 171)","[(25, 27, 31), (142, 106, 82), (62, 62, 59), (141, 144, 146), (173, 158, 129), (70, 29, 14)]"
137,"(15, 20, 16)","[(94, 113, 126), (119, 123, 125), (154, 148, 133), (139, 135, 124), (36, 37, 29), (48, 50, 50), (48, 72, 66), (228, 228, 222), (112, 114, 103), (112, 142, 164)]"
138,"(4, 10, 6)","[(77, 84, 81), (47, 49, 45)]"
139,"(200, 202, 196)","[(128, 119, 104), (102, 106, 107), (28, 39, 43), (176, 180, 175)]"
140,"(36, 42, 44)","[(145, 148, 147), (113, 122, 119), (167, 181, 209), (33, 36, 40), (26, 30, 40), (92, 89, 84), (36, 43, 49), (60, 67, 71)]"
141,"(77, 95, 97)","[(71, 71, 71), (189, 182, 171), (62, 67, 62), (16, 25, 35)]"
142,"(86, 90, 84)","[(70, 46, 37), (68, 71, 68), (134, 131, 121), (29, 34, 30), (53, 68, 67), (77, 74, 56)]"
143,"(157, 126, 90)","[(79, 77, 61)]"
